# S2 before — 2026-09-18 19:05:45
# base=http://localhost:8080 combos=50 parallel=5 topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 환경(실패율·지연)은 기동 명령을 여기 손으로 적을 것:
#   SPRING_PROFILES_ACTIVE=dev STT_ENABLED=false LLM_ENABLED=false STT_MOCK_DELAY_MS=3000 LLM_MOCK_DELAY_MS=4500 STT/LLM_MOCK_429_RATE=0.3 STT/LLM_MOCK_5XX_RATE=0.1 STT/LLM_MOCK_TIMEOUT_RATE=0.05 JAVA_TOOL_OPTIONS="-Xms2g -Xmx2g" ./gradlew bootRun (MySQL 8.0 임시 컨테이너 3307)
run  attemptId                             q   http  seconds   failed
1    fe19218d-097d-4a2c-b76c-38421bcc0073  2   200   18.415030 [1]
2    806627a2-936a-483f-9ab0-c325da890d27  3   200   18.910564 [1]
3    dba19c55-8be3-4f2a-92b7-5d39131ee85b  3   200   25.900346 []
4    62a1688e-fe63-44ce-8b03-30a460508062  2   200   14.148946 []
5    5935acba-fa12-475a-9b26-425642ef8860  3   200   14.213317 []
6    c577ac8c-e550-47a2-8703-36ea09456ac2  3   200   22.712475 [2]
7    32eca325-8ab6-4950-bd6c-f25a9b5f9959  3   200   23.303426 [1,2]
8    e613047b-354a-41aa-b9a5-c754990f27f6  3   200   7.521037  []
9    17f67442-4bd2-4f68-ad51-f45fe2078612  2   200   19.222289 [0]
10   60aa1dcd-484c-4efe-adc0-c98568a3514e  3   200   21.177852 [0,1]
11   b2c464e2-a7c1-4f71-990e-b06b43734642  3   200   19.774300 [0]
12   a0cf1fd4-ade7-47bf-b898-7176dc830e5f  3   200   25.135244 []
13   de55ee39-e68c-4ab7-899e-d3f6a0c8d414  3   200   23.617568 [1]
14   a37e7990-24ed-4d52-9fc6-b9db05f280d0  3   200   25.339798 []
15   190e7df3-99fd-48d2-810c-6aa37c9776f0  2   200   11.831675 []
16   884fec06-cbca-46bd-868c-b974aadcdbb3  2   200   7.524741  []
17   54c730f6-87a9-4a91-a262-577a674210c7  3   200   22.665883 []
18   ff9af04b-9c15-4dab-b647-2ba45f368e75  2   200   20.988006 []
19   8b7c0d82-863f-4e91-b0b3-e3ac791b77af  3   200   15.678413 []
20   f34eddb8-405d-438e-a037-3130d1b30a03  3   200   15.047638 []
21   580e2f00-a7d3-4432-baf8-0357dcd3f917  2   200   13.976792 []
22   2cfba401-0ae4-441b-9edb-86fec0356efc  3   200   19.315445 [0]
23   49163265-1765-426e-9654-032c8c710bb5  3   200   23.979921 [1,2]
24   3466e8b5-fbca-46f1-8881-e744875a74af  3   200   22.139454 []
25   e0cc4dd2-4c16-4a6b-8c12-9a11e24970f1  3   200   20.485261 [1]
26   79aa1605-1fe4-42c6-827f-0504b500f107  3   200   14.369133 []
27   8ff3091b-6855-4fe8-a038-9de7857fdfb2  3   200   26.848492 [1]
28   75d143c4-1844-4b92-8041-3f89abfe4ec4  3   200   14.162111 []
29   2d1df327-b1df-4595-b24f-f59d0444c7a3  3   200   7.521393  []
30   fdae0c64-3743-4e6c-bcd6-1c122bfe4646  3   200   15.096853 []
31   0658f40f-9d48-4d4b-b90a-17bd54c00be4  2   200   19.564048 []
32   b0dad301-84a6-461b-885d-1959f1dc34cf  3   200   26.731628 [0,1]
33   fee82e06-7f42-457d-a154-f092c363d3b9  3   200   16.843792 [0]
34   049fd167-5878-46c5-bde5-9b11321d7068  3   200   18.810174 []
35   94ddf296-eab3-489f-97c2-be3cba773687  3   200   22.431774 []
36   d5e7e3f5-646f-471e-ba99-02f2eb9b2d3b  3   200   23.547919 []
37   ed2697ef-ccb1-481d-9774-88c9e9a46f22  3   200   18.793130 [0]
38   ac3228d9-3da2-4a3c-9743-d54a7321a2f9  2   200   25.497601 []
39   a31fcad5-1c05-4c10-86eb-4b2939729a3d  3   200   24.332454 []
40   4fde21ff-dd7c-46d7-b917-699b88c56932  3   200   25.165277 []
41   59a5cb02-bddd-4193-9d07-af93b244ab43  3   200   15.420653 []
42   90bb271d-10f1-4414-9354-4dca79eb9b92  3   200   23.742102 [0]
43   dfcc01ae-c230-461a-b84f-dceb42c8d977  3   200   21.680228 []
44   c35c010a-e1ad-4dcd-8041-acf404af43da  3   200   13.314515 []
45   87e21ba1-7d10-4be0-af79-f23fc87e11f0  2   200   22.188753 [1]
46   5f71787a-9722-4a7a-9a49-9a46f71d5032  3   200   7.527662  []
47   5ad58867-1753-4030-a544-af7aea13e5af  2   200   11.646755 []
48   6f8702a4-033d-421f-931b-b740f30c572a  3   200   15.864737 []
49   06d36bbe-b467-41da-a588-18df6d7a365f  3   200   22.359321 [2]
50   19047a3e-ceec-4fc6-b3b4-2eb9d8709df0  3   200   24.435415 []

# 소요 205s
# 외부 호출 (후-전)
#   score 429      48
#   score 5xx      24
#   score ok       117
#   score timeout  6
#   stt   429      53
#   stt   5xx      24
#   stt   ok       132
#   stt   timeout  12
#   tag   ok       117
# 재시도 (후-전)
#   llm   429      34
#   llm   other    29
#   stt   429      49
#   stt   other    33
# 증폭 = (stt 221 + score 195) / 기대 300 = 1.39배  (SLO ≤ 1.5)   ← 스크립트 초판의 N×3 계산. 아래가 맞는 값
# 증폭(보정) = 416 / 기대 278 (문항 139 × 2, 2문항 콤보 11건 포함) = 1.50배 — SLO ≤ 1.65 통과
# 해석: 주입 실패율 합계가 45%(429 30 + 5xx 10 + timeout 5)라 재시도 3회 이론 상한은 1+0.45+0.45² = 1.65배.
