# S2-async after-2 — 2026-09-22 13:13:57
# base=http://localhost:8080 combos=50 parallel=5 topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 환경(실패율·지연)은 기동 명령을 여기 손으로 적을 것:
#   
run  attemptId                             q   http  submit_s
1    141907ca-941b-4e3a-98a7-90e0866b6149  2   202   0.020730
2    a58c557a-834d-4364-874a-17285b1f7034  3   202   0.023859
3    9eb27820-961f-41e1-a2fb-2310a2dd3df6  3   202   0.045563
4    0639f90b-eae8-4cfa-b2bb-54baf4e4908a  2   202   0.065127
5    239f3e87-e5af-43f0-b9c0-4f1e5d3bf407  3   202   0.015249
6    d8ce5127-b0bd-4273-af35-c7c62b37d77f  3   202   0.019611
7    2e6677bf-c61d-4e61-af72-32cd412d5f0f  3   202   0.020640
8    61ea7ebb-405a-4c5d-a027-6a8fb4f4f81a  3   202   0.024930
9    d0cc6257-9d9f-4b5b-9bc0-f9c3391077da  3   202   0.026836
10   13dd5d6f-315c-4f42-b852-048748e80c4a  3   202   0.023212
11   8974ada7-a41f-41a7-9fe7-267e80bc34d5  3   202   0.037034
12   bd2ff5b2-e458-4b53-8e7e-f7b0fb552b81  3   202   0.021145
13   77ccb00e-1705-43a5-9201-1a291defe143  3   202   0.058042
14   680b4096-a8b1-48e5-a366-16cb38664d1b  3   202   0.020178
15   604e520b-eea2-42fe-8099-cf6c13c48382  3   202   0.023122
16   8e8ff5b0-22c5-45d2-a559-2db6f03ae3ab  3   202   0.022293
17   2bc12f7a-95be-4232-b5f7-10c6e90cd853  3   202   0.024622
18   cee3b58c-8753-40a4-8907-54eb6e18ebea  3   202   0.022192
19   5af19327-2998-41b7-8887-2e6029c31da2  3   202   0.024878
20   cd121d87-9939-40af-a64b-4733f98c6458  3   202   0.020937
21   a84380bc-bd58-4f81-b53b-d5f9d26ad92b  3   202   0.033374
22   282da7fc-f9ef-47d1-96a9-a65159d06182  3   202   0.025728
23   74d6520a-fef2-43eb-a6c5-5a4dda07f0b3  2   202   0.027882
24   fadf7430-2e83-4ccb-8c70-2f78ac48156f  2   202   0.025398
25   6a7ba8cd-2ba3-4dc2-98d9-46b63811e32b  2   202   0.021990
26   e652b3a9-2c24-4201-aa4e-eafa1868de66  3   202   0.026872
27   b6f080eb-494a-4e82-bf51-016a0a92921a  3   202   0.019676
28   c0c4bd59-b1df-4434-8f34-65ec9e0fbb73  3   202   0.018997
29   7e4eecdf-2b41-4e75-91c6-ad7606aee7e2  3   202   0.028235
30   2656be09-b0b2-48cb-a77a-c272f33b1e25  3   202   0.016556
31   755f4972-9ccb-4631-b219-e52d08ffb70b  3   202   0.027780
32   f5dc1225-e77d-44c5-9039-37c4f47f74db  3   202   0.020430
33   eeae40b5-92cc-4927-85ef-0907d22baf03  3   202   0.029733
34   1d9875c0-fdb3-4145-a2c4-ee89010de151  2   202   0.030228
35   30516f7b-595e-469b-a2c0-26f92dfd89ab  2   202   0.020665
36   5b5a5bb4-8a19-41e3-ad2b-6f274f670720  3   202   0.032781
37   e4f2d7ec-89a8-48ff-9fb9-f081feffba87  3   202   0.024899
38   dc885f4d-a7c5-4540-91cf-81531adb509b  3   202   0.032760
39   9234f199-6766-4ee6-a1a8-693679a6727f  3   202   0.025111
40   05121215-8726-4535-a59c-f37cac04f0c7  3   202   0.021684
41   322eeb0d-4642-46fa-bb5b-4e04ea7f4ffa  3   202   0.025390
42   4fe4b660-00aa-4ac3-bf12-6047ad4323f2  2   202   0.026107
43   76a4a4a2-facd-4178-a650-dbff628b5430  3   202   0.030498
44   0948a677-69f1-494b-ae2a-8e67cd3fff7e  3   202   0.010393
45   45e3c6dd-a431-4ee4-8d79-dbb7d88111a6  3   202   0.036685
46   42047faa-3c3e-4491-8664-5f755e163dbc  3   202   0.015560
47   704c72b6-3842-46a1-936f-cd51bde3a601  2   202   0.027415
48   8b0d1f1f-e442-4267-93cf-c190dae0c517  3   202   0.023308
49   e0deedf8-963c-485a-9292-21d112ce8433  3   202   0.024922
50   ff20c943-2ba7-4bf8-9349-14038acc63b4  3   202   0.023882

# 접수 60s (비202: 0건) / 접수 시작→전부 완료 235s
# 외부 호출 (후-전)
#   score 429      50
#   score 5xx      16
#   score ok       111
#   score timeout  5
#   stt   429      69
#   stt   5xx      21
#   stt   ok       126
#   stt   timeout  10
#   tag   ok       111
# 워커 재시도 (후-전)
#   llm   429      8
#   llm   other    6
#   stt   429      90
#   stt   other    37
# 워커 문항 결과 (후-전)
#   done     111
#   failed   30
#   retry    141
# 증폭 = (stt 226 + score 182) / 기대 282 (문항 141 × 2) = 1.45배  (SLO ≤ 1.65)
# 잡 상태: COMPLETED_WITH_FAILURES=27 COMPLETED=23 
# 문항 상태: DONE=111 FAILED=30   ← FAILED가 사용자가 실패 카드를 본 문항
# 문항 시도 분포: 1회=50 2회=41 3회=50 
# 접수 시작 → 마지막 잡 완료: 229s
# 접수→완료(초): min 41.8 / avg 156.1 / max 195.1
# 서버 생존: {"status":"UP"}
