# S2-async after — 2026-09-22 13:01:12
# base=http://localhost:8080 combos=50 parallel=5 topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 환경(실패율·지연)은 기동 명령을 여기 손으로 적을 것:
#   
run  attemptId                             q   http  submit_s
1    2c8ee13f-63dc-406f-a365-e9ee739bcb0f  3   202   0.027896
2    c1d33732-41bd-4e01-86eb-2de3cb672b8d  3   202   0.081865
3    1199ed50-d943-495f-8c74-7e47d9cef1ba  3   202   0.031040
4    4880be21-f5ee-4de4-9a5b-a8d297301d15  3   202   0.042142
5    e09c954f-75a8-4b56-b59c-fe5125b07492  3   202   0.022813
6    bd2725f8-468d-401b-aa11-ff760170bc41  3   202   0.034886
7    e2597f08-539b-4393-a9dd-c16ee58a6aba  2   202   0.036880
8    522ccfd8-c2da-4592-8e65-a1eaf9a70fa6  2   202   0.027241
9    6eab8f49-a80e-4f9a-99cb-53e496c6a01b  2   202   0.017690
10   49c273bf-8a8c-458d-a84d-07b5de49ed54  3   202   0.027480
11   172f0268-db9a-47d8-9acd-333c1e77e6ad  3   202   0.036233
12   a755a4d8-c5b3-425a-9b1a-a6f59beaeef5  3   202   0.018761
13   45a94e75-94fa-4d48-a077-dad7518c721a  2   202   0.024180
14   017555ba-bbff-4b47-91bb-f4cc4b8e503f  3   202   0.017509
15   81081188-0bd9-4e83-bc0d-9d47dfd52f2f  3   202   0.028690
16   9a36457f-46a7-490b-bdd4-47fbf0abff5b  3   202   0.022225
17   e6e72e50-2e42-4555-a433-f89ccbd95870  3   202   0.030898
18   8cb88792-51e8-4f5d-8334-e854327898c8  3   202   0.029882
19   000afce9-121b-4e12-880e-826062302360  3   202   0.024993
20   a1f92459-1350-4c6e-81a0-7780521cda3a  3   202   0.041782
21   8b09823a-dbd8-46a5-96d9-8a786c8d7bdf  2   202   0.022578
22   19f44d85-d1a1-4ad3-b6cf-27350e64923a  3   202   0.031041
23   5860d26a-8689-4414-a41f-a4bc920ff486  3   202   0.022193
24   0f7a033e-44eb-4adc-b4de-cdf8aa792593  2   202   0.030819
25   70cfd31b-8ba1-4922-a3f1-5a1a7878d510  2   202   0.029868
26   d7302108-7196-4926-9e04-18a79f8270e9  3   202   0.030927
27   861bb4cd-4d27-4ab9-a429-302b663ca99d  2   202   0.031168
28   94428f81-3084-422c-820a-c069826f036b  3   202   0.024500
29   f3ae0285-3b93-41c8-ab0b-47ee7d149e5b  2   202   0.029825
30   b4eab5d5-1f1b-42ef-b724-39cf831a8632  3   202   0.031423
31   e2f5136f-0af5-4411-b475-24b2df7113be  2   202   0.029601
32   c0c7694b-4fbb-40f3-bba1-9013ecb55211  3   202   0.033884
33   7ce8a637-c5d2-4ded-bd0e-50e6a18927a6  3   202   0.041649
34   6ed9c0c7-ac6e-49e5-9c21-971b1351468d  3   202   0.030100
35   032bce03-56c7-493f-beeb-e46950139e33  3   202   0.032209
36   9091dc0b-05a0-4e6d-aefb-14c5476aa2b3  3   202   0.020396
37   66100da5-0dc9-4e3c-ab0d-e8f64e75d8aa  2   202   0.033710
38   9a2f46c7-9740-44b4-88ae-f68308cdd5f7  2   202   0.029430
39   38f32223-9e1e-4334-a8bd-b90d9e274758  3   202   0.029902
40   feb29b45-7280-4864-96f8-2a75450f639b  2   202   0.019959
41   6217e69d-54e3-4b73-a7c9-cd3e76614e7c  3   202   0.040881
42   6e38d5f9-7ef5-4177-8c6f-154fb27b5d08  3   202   0.034437
43   afb93678-09da-4f3d-a467-174fc7c6a930  3   202   0.027460
44   d84918a1-ac27-4f62-89ee-09409efe6e91  3   202   0.027502
45   6427efaa-bd19-4dca-9d1b-9ecaf918c61a  3   202   0.036660
46   9776e075-403e-43ee-903c-50dcfeac6838  3   202   0.043614
47   d9b0c0a8-19f5-4f9b-8ba8-3dad6885ef77  2   202   0.034845
48   6d22f5f2-9ce6-48f7-aeca-1af179dbf9a4  3   202   0.035064
49   21f1b271-827f-42fd-811d-dd347aa5eeb4  3   202   0.031479
50   a0bb4a98-7a71-4337-9e25-6c461d43575a  3   202   0.045608

# (스크립트 버그로 요약 단계가 멈춰 손으로 산출 — 서버는 13:00:50 새로 기동, 지표 = 이 실행분 전체. 접수 구간 ~13:01:12~13:01:40)
# 외부 호출
#   score 429      60
#   score 5xx      23
#   score ok       105
#   score timeout  13
#   stt   429      59
#   stt   5xx      25
#   stt   ok       126
#   stt   timeout  9
#   tag   ok       105
# 워커 재시도
#   llm   429      12
#   llm   other    4
#   stt   429      88
#   stt   other    54
# 워커 문항 결과
#   done     105
#   failed   31
#   retry    158
# 증폭 = (stt 219 + score 201) / 기대 272 (문항 136 × 2) = 1.54배  (SLO ≤ 1.65)
# 서킷 OPEN 횟수: 4회 (30s씩)
# 서버 생존: {"status":"UP"}
# 잡 상태: COMPLETED_WITH_FAILURES=25 COMPLETED=25 
# 문항 상태: DONE=105 FAILED=31   ← FAILED가 사용자가 실패 카드를 본 문항
# 문항 시도 분포: 1회=37 2회=40 3회=59  (3회 중 31개는 FAILED, 28개는 3번째에 성공)
# 접수→완료(초): min 14.3 / avg 96.6 / max 156.5
# 접수 시작 → 마지막 잡 완료: 2026-09-22 13:01:16.357903 → 2026-09-22 13:04:42.758537 = 206s
