# S3-async after — 2026-09-22 13:30:27
# base=http://localhost:8080 users=30 duration=300s topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버: SPRING_PROFILES_ACTIVE=dev STT_ENABLED=false LLM_ENABLED=false STT_MOCK_DELAY_MS=3000 LLM_MOCK_DELAY_MS=4500 JAVA_TOOL_OPTIONS="-Xms2g -Xmx2g" ./gradlew bootRun (MySQL 3307, 실제 R2, 워커 동시 상한 30)
# 요약: 접수 248/248 202, p95 0.032s(SLO 0.5s ✓). 접수→완료 p50 12.3s / p95 18.3s / max 26.7s — S1 단독(10.3s) 대비 p95 +8s는 큐 대기(큐 max 40, 처리 중 max 30 = 동시 상한에 붙음).
#       처리량 44콤보/분(전환 전 k6 1,080건/5분 = 216/분): 동기는 상한이 없어 30명이 각자 7.5s씩 자고 끝났고, 비동기는 워커 슬롯 30이 상한. 30명 연속 제출 = 문항 ~90개 동시 요구 vs 슬롯 30. 상한은 설정값(backlog "동시 상한 산정").
#       GC 5분: Humongous 3회(전환 전 25회 — 오디오가 HTTP 요청 힙을 안 거침), Evacuation 4회, Full GC 0.
#       FAILED 1/682: R2 "key does not exist" — 스크립트가 PUT 응답을 확인 안 하고 접수함(브라우저는 put.ok 확인 후 접수). 워커는 이걸 3회 재시도했는데 404는 재시도 무의미 → 후속.
user attemptId                             q   http  submit_s  complete_s
1   b5fe820a-ff37-43d1-aea6-48912cc3d3a3  3   202   0.012063  12.3
1   6da804d9-a2e0-4ca3-b8a1-0b5b218924ab  3   202   0.016259  12.2
1   8400e474-86f9-4ab5-abcc-ab3d44b250cb  3   202   0.017498  16.3
1   396237ba-0a15-48ba-8add-60ca609ece1e  3   202   0.021577  14.3
1   91f9df5a-a82e-48d9-8512-71dbee6eb8c6  3   202   0.022414  14.3
1   b0536af3-4dca-43b9-966a-0eab78199b5b  3   202   0.023522  12.3
1   7528dc28-578d-4321-8304-515b8384c795  3   202   0.024625  10.3
1   f0cb7e8b-f47f-442a-b04b-8b3e3a6ab561  3   202   0.028896  10.3
2   4709f1da-b6d3-49a8-a9cb-7a31d5a23ef4  3   202   0.017884  12.3
2   ef925ae4-82b3-4062-bb0a-b3ab09faa462  2   202   0.018443  12.3
2   2ee73828-d0d4-4728-86d7-e4be100c6049  3   202   0.020320  16.3
2   d89c6c2a-9e7e-4e61-90b0-dc085507af40  3   202   0.020717  12.2
2   b5ef5a5e-2a62-49c9-bb14-c21d36ec1761  3   202   0.021919  14.3
2   37d7914c-2068-4f20-b345-2e2357c618de  3   202   0.022927  12.3
2   238242ff-e3d9-44fc-86b6-08cdb3bbf344  2   202   0.035819  12.4
2   2a9573a1-06ed-434d-963a-86b1177819df  2   202   0.045589  24.5
3   3c1f730b-d806-40fa-af3d-17b72a2438ff  2   202   0.015084  10.2
3   565cc4d5-1417-407d-9963-2e8546792b5f  3   202   0.015982  14.2
3   27d3c905-5ced-4d0d-a5e0-5ba026ded77d  3   202   0.016989  12.3
3   161cf7e7-bc09-42f6-a092-f626a0042d0d  3   202   0.019305  14.3
3   06cec007-2268-4c94-a1b9-a5a05973fd56  2   202   0.020704  10.2
3   40417373-da4b-4a02-8bb4-30799a8dafb1  3   202   0.021150  12.2
3   9dc80f4a-16da-4cbf-bada-de806c89404d  3   202   0.021704  14.4
3   99029521-04bf-439f-b0fd-239ce83a4ac4  3   202   0.024319  12.3
4   7d3295c2-3cef-4912-96e6-ff2bfaf3d6d1  2   202   0.016746  12.3
4   e8dcd3de-dd0d-4385-b89c-8b7f5ded71f6  2   202   0.019071  12.2
4   7b77ce45-2715-4ede-ba87-4a8530224019  2   202   0.019689  10.2
4   841dcddc-3bcb-47c0-bcd2-9ba49bcd8b7b  3   202   0.019979  14.3
4   871f9359-7e0e-4cbb-8c01-f80855d39139  3   202   0.021927  10.3
4   55653859-cab6-42d6-9d6f-470661f2372e  3   202   0.022653  12.3
4   29ec723e-74b2-464b-9ec1-f126b00088eb  3   202   0.023710  12.3
4   b9623b8c-e169-4ebc-be72-7c2ffdc989a0  3   202   0.027766  12.3
4   d1a6af33-99ac-44d6-a3f4-6947977868da  3   202   0.034523  16.3
5   9e4ac140-0708-4461-a3a9-a42e6fc9038c  3   202   0.013068  12.3
5   f5f43ce5-9387-4ded-8d90-3827fed2d1cb  3   202   0.018208  12.3
5   092e362d-19f7-404f-8384-db01b5e72aa7  2   202   0.018605  12.3
5   6720ed16-7377-470e-b3fe-f8e5d0f04a44  2   202   0.018639  10.3
5   adf81f0b-9200-4f57-996d-9f5213eecdd1  3   202   0.019093  14.3
5   64797198-c1ee-4bd6-9d46-b3a4f50c1b4f  3   202   0.019832  12.3
5   ec322f9c-6e2b-4f1f-856a-f324b68b5b8a  3   202   0.020090  12.2
5   7b3ba576-f00b-4a12-a0cd-8922dc2ab76a  3   202   0.020664  10.2
5   9697918b-534a-4594-bcda-cdb3f4ed9a2f  3   202   0.022045  12.3
6   e94685f8-0695-4162-a227-10cf02496eb9  3   202   0.012958  14.3
6   9dfe9792-1c5e-495c-ae93-db6003aef92d  3   202   0.014369  12.2
6   6f063a0f-e7a9-4d7d-9108-c27093d82310  3   202   0.015746  12.2
6   186e5012-f678-45a8-b927-e54d116524dc  3   202   0.018263  12.2
6   80182bff-0407-42a8-9a00-06e03d25bf76  2   202   0.018492  12.2
6   51dc1c6c-2426-4da6-ab95-085913aed4e8  3   202   0.020609  22.8
6   15547279-d225-4604-8371-746a8892b141  3   202   0.024570  12.2
6   ed17fe0d-0e4c-4e91-9b62-ae80cd548591  2   202   0.031055  10.3
7   88c77abc-e4ca-426d-b748-767af41dfd0b  3   202   0.016369  12.3
7   b36ca03e-ec44-495f-bc35-aa3004fbe66e  3   202   0.017222  12.3
