# S3-async u100-slots-120 — 2026-09-22 14:14:54
# base=http://localhost:8080 users=100 duration=300s topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 기동 명령을 여기 손으로 적을 것:
#   
user attemptId                             q   http  submit_s  complete_s
1   8509f44d-0e5c-4513-ba22-aba24cf0b057  3   202   0.016719  18.5
1   8011fc82-f199-44fe-876f-90a290507315  3   202   0.022000  12.2
1   5d8066fa-c3cb-4b75-bf6d-63e53d293325  2   202   9.661496  30.2
2   b10e6b6a-0fa9-4510-b9fd-fe9d2639b40a  3   202   0.011804  75.7
2   ff9c31d3-b5b0-40f7-9d18-f857bdc97aa5  2   202   0.020886  16.3
2   7844c7f5-9590-404b-8594-6ec822a68eb0  2   202   0.037558  10.4
3   a8a48aea-e074-45ef-879b-598d329f2ba5  3   202   0.022247  20.4
3   6a384e1e-5059-4636-904c-845991bfaff0  2   202   0.108164  14.5
3   b6cc7ff5-af9d-42dc-b68b-5f990077ed57  2   202   5.336500  52.3
4   77672074-4ee6-48ed-b3d0-a9cb146935e5  3   202   0.015896  28.4
4   76db46f3-a9eb-4b95-bd50-6758b6c49164  3   202   0.019995  12.2
4   c8d383d8-1928-4716-bf45-2af63fefb144  3   202   0.024753  30.6
5   1b5eb1a6-9daf-4db8-8dd0-b63096bb908c  2   202   0.031865  14.3
5   7b679186-bf0f-4742-a6ad-fb83da72bb25  3   202   0.106254  14.4
5   a9dacd84-19e1-4131-b71d-7c6b1868fe3c  2   202   0.947318  82.0
6   186664be-20d1-427c-9852-8a9656680e09  3   202   0.019990  47.1
6   aecb62e7-6bab-41a1-842b-5db7846aece6  3   202   0.034567  22.4
7   1ac6c096-583f-48f9-a1e4-9c5e4c3a8450  3   202   0.020507  10.2
7   90f889d4-6b65-4f71-b120-63f78450b6a0  2   202   0.025905  18.4
7   040bb599-0193-41e7-a5ff-1a41b39bf24b  3   202   3.431333  34.4
8   63db189e-5086-49ae-a46c-2f7572fb216c  3   202   0.012356  24.5
8   051acd7f-835a-400d-b217-6410e6537ccf  3   202   0.025677  12.3
8   bb1b3171-90ad-4143-8510-f8f5d3736a1e  3   202   7.259106  40.4
9   dae4b52b-4c9a-414c-b8fd-fa68e17704a8  3   202   0.019709  12.3
9   523682fd-925e-4ea0-a5cf-5a5939558233  3   202   0.020667  20.4
9   fa65adfa-e52f-44ab-94db-6cbd0c4e03f0  3   202   0.026033  28.7
10  c86f4fa9-4ee9-4471-bcef-c4b620aae2e3  3   202   0.017718  18.4
10  57134431-c925-4bcb-97f4-f4afaa472f3a  3   202   0.022208  12.2
10  87affd54-0a98-4bd4-b131-d7ef951c7c47  3   202   1.204623  32.2
11  85f7be5b-c7b1-4641-8d1b-334edcae9e64  3   202   0.019787  18.4
11  0fff6471-41ca-4099-9ea7-977e776476b8  3   202   0.026093  54.9
11  845424ce-bf28-4d4c-86fe-e09a3a4849de  3   202   0.026603  16.5
