# S2-async after-time-budget — 2026-09-23 13:54:59
# base=http://localhost:8080 combos=50 parallel=5 topic=MOVIE_WATCHING/LEVEL_3 audio=scripts/test_audio.webm
# 서버 환경(실패율·지연)은 기동 명령을 여기 손으로 적을 것:
#   
run  attemptId                             q   http  submit_s
1    94e7953f-2d05-491b-a815-5577e20b46a0  3   202   0.022885
2    39595ecf-c716-4ff6-bffa-36e82c651490  3   202   0.024900
3    30360065-1bff-47dd-807b-b3be60a03576  3   202   0.023298
4    d6e6de78-1022-457e-95f5-50577ea59924  3   202   0.033858
5    6f20890a-01eb-4f79-b55a-44ce88cfa206  3   202   0.073051
6    6622de98-90d1-4fc8-b4f2-3b06c124cf99  2   202   0.030811
7    cf03517e-34cb-4b9a-ad7c-b05faf09bbdc  2   202   0.025159
8    adf3c733-8cf1-4476-9cc2-74f7b2fc2dae  3   202   0.027606
9    a3376953-5097-4703-a3e4-f7319ec51cbf  3   202   0.025142
10   0208043d-2ada-4ed0-a905-a67981d3e13e  2   202   0.033472
11   9bbc2e83-b962-48a3-9098-d59837fd3f78  2   202   0.029928
12   2cd3da1b-37ab-41f0-9a72-f5de93cad847  3   202   0.034662
13   d84c4a09-5b26-49f7-a933-df42b0f34be3  3   202   0.037904
14   3f0e8bdd-5308-4e7d-9ade-9666f6dd3821  3   202   0.037416
15   a37243a1-52be-42eb-9153-9977eeb0edf4  2   202   0.032010
16   c653a4d0-0cb2-4b05-ab04-5675fe941c3c  3   202   0.026532
17   21466cf3-a319-4da3-a384-2006dc0060b3  2   202   0.027962
18   cefc2ac9-0e8a-4ba7-aae0-c3e4f6639fc2  3   202   0.037111
19   fb5d7140-7515-45d3-aaeb-1cb37afcddb8  3   202   0.050945
20   12e43910-a202-408a-b055-2d3baf3536a1  3   202   0.029650
21   3a4fc79d-d1f4-4657-a29b-c26995d2df02  2   202   0.025114
22   015aba9b-f4e8-4486-b5b6-21608c1e5574  3   202   0.024596
23   35bff0c9-2ced-49f2-8e92-eab59a6378c1  3   202   0.019970
24   88c9d40e-1002-409c-9562-c20dbfe48570  3   202   0.035986
25   a85210d4-2472-4c95-91e3-52e7fd71b783  2   202   0.027414
26   5a43af31-57be-4485-877a-8d5407bc9a44  2   202   0.057405
27   c472b4a6-d42a-4777-b6ce-6275999010b9  3   202   0.033369
28   6fa06728-86dc-4051-be9c-3299c799fb94  3   202   0.027018
29   a107d025-8989-40bb-9064-82105926f46c  3   202   0.020433
30   fb928ed0-c437-49d2-8188-f4e6ada4ac33  3   202   0.012676
31   bc2e6d9c-764d-40fb-882e-1cf183f50377  3   202   0.013242
32   a68aeab7-6ef5-4af7-bf54-fb0f49ed4d40  2   202   0.016630
33   5a37fad8-e432-407d-a7de-ae6a8b641838  3   202   19.709811
34   96f9cbdf-3aa3-46f0-baca-6787a66acfae  2   202   0.071603
35   1a07eb34-7aa3-4c99-82c6-f62920151ce6  3   202   17.329802
36   746f7f1b-1dec-4568-a3e3-3f8cbda6ce06  3   202   16.778315
37   ec9d027d-a4f2-4b29-895f-c5585b971467  3   202   17.106050
38   afec3cbb-7faa-4277-9e21-a52f783c8ab4  3   202   15.691831
39   8a904fdd-06a0-4973-b46d-893771404947  2   202   0.020755
40   0fd2bfd3-8568-4998-856e-00a2b503dd07  3   202   0.023038
41   12f746da-1aeb-49b0-b494-e2358cc2321e  3   202   0.027877
42   8490d5fc-0a7a-4fe8-9093-e13aea4836b0  3   202   0.030388
43   f654a8ef-6fff-4fdf-b684-21e7a1ba3207  3   202   0.020052
44   cbe9b1bf-20b2-4d17-a234-e59fa784d3d3  2   202   0.026516
45   40d4d97d-0486-4488-9a18-cc9213d57e2b  3   202   0.028029
46   3d03e8ce-e1ae-4b78-94f4-7f3acac7d786  3   202   0.025457
47   7762e9f3-30bf-47da-be16-803aa43d2082  3   202   0.057774
48   34a819d0-9a5e-43da-95d5-e3e43b5750c2  3   202   0.047902
49   b353cd18-15b1-46dd-b573-b0f8cef5c121  3   202   0.030169
50   b02d0f93-8fd5-4053-bb9d-8e922bb37701  3   202   0.027305

# 접수 95s (비202: 0건) / 접수 시작→전부 완료 586s
# 외부 호출 (후-전)
#   score 429      67
#   score 5xx      26
#   score ok       137
#   score timeout  13
#   stt   429      72
#   stt   5xx      33
#   stt   ok       137
#   stt   timeout  16
#   tag   ok       137
# 워커 재시도 (후-전)
#   llm   429      35
#   llm   other    11
#   stt   429      104
#   stt   other    77
# 워커 문항 결과 (후-전)
#   done     137
#   retry    227
# 증폭 = (stt 258 + score 243) / 기대 274 (문항 137 × 2) = 1.83배  (SLO ≤ 1.82 — 실행 당시 스크립트 헤더가 옛 1.65로 찍혀 수정)
# 잡 상태: COMPLETED=50 
# 문항 상태: DONE=137   ← FAILED가 사용자가 실패 카드를 본 문항
# 문항 시도 분포: 1회=41 2회=35 3회=34 4회=11 5회=4 6회=4 7회=6 10회=1 11회=1 
# 접수 시작 → 마지막 잡 완료: 579s
# 접수→완료(초): min 13.8 / avg 169.7 / max 567.1
# 서버 생존: {"status":"UP"}
