t,ok,r429,r5xx,other,in_flight
0.0,0,0,0,0,0
1.0,0,0,0,0,0
2.1,0,0,0,0,0
3.0,0,0,0,0,0
4.0,0,0,0,0,0
5.0,0,0,0,0,0
6.0,0,0,0,0,0
7.0,0,0,0,0,0
8.0,0,0,0,0,0
9.0,0,0,0,0,0
10.0,0,0,0,0,0
11.0,0,0,0,0,0
12.0,0,0,0,0,0
13.0,0,0,0,0,0
14.0,0,0,0,0,0
15.0,0,0,0,0,0
16.0,0,0,0,0,0
17.0,0,0,0,0,0
18.0,0,0,0,0,0
19.1,0,0,0,0,0
23.5,0,0,1,0,8
24.0,0,0,6,0,2
26.5,0,0,11,0,11
27.6,0,0,17,0,10
28.1,0,0,18,0,11
29.3,0,0,23,0,11
30.2,0,0,28,0,11
31.2,0,0,34,0,10
32.3,0,0,41,0,9
33.3,0,0,44,0,10
34.0,0,0,53,0,10
35.7,0,0,56,0,11
36.1,0,0,60,0,9
37.0,0,0,65,0,3
38.9,0,0,75,0,11
39.3,0,0,76,0,11
40.2,0,0,82,0,11
41.1,0,0,87,0,9
42.0,0,0,98,0,10
43.0,0,0,150,0,3
44.0,0,0,240,0,0
45.0,0,0,316,0,2
46.0,0,0,328,0,0
47.0,0,0,416,0,0
48.0,0,0,504,0,0
49.0,0,0,510,0,3
50.0,0,0,592,0,0
51.0,0,0,680,0,0
52.0,0,0,755,0,2
53.0,0,0,768,0,0
54.0,0,0,856,0,0
55.0,0,0,944,0,0
56.0,0,0,1013,0,2
57.0,0,0,1032,0,0
58.0,0,0,1120,0,0
59.0,0,0,1208,0,0
60.0,0,0,1258,0,3
61.0,0,0,1296,0,0
62.0,0,0,1384,0,0
63.0,0,0,1457,0,2
64.0,0,0,1472,0,0
65.0,0,0,1560,0,0
66.0,0,0,1648,0,0
67.0,0,0,1714,0,2
68.0,0,0,1736,0,0
69.0,0,0,1824,0,0
70.0,0,0,1912,0,0
71.0,0,0,1988,0,1
72.0,0,0,2000,0,0
73.0,0,0,2088,0,0
74.0,0,0,2176,0,0
75.0,0,0,2264,0,0
76.0,0,0,2264,0,0
77.0,0,0,2352,0,0
78.0,0,0,2440,0,0
79.0,0,0,2528,0,0
80.0,0,0,2529,0,2
81.0,0,0,2616,0,0
82.0,0,0,2704,0,0
83.0,0,0,2792,0,0
84.0,0,0,2796,0,2
85.0,0,0,2880,0,0
86.0,0,0,2968,0,0
87.0,0,0,3056,0,0
88.0,0,0,3064,0,2
89.0,0,30,3104,0,10
90.0,10,108,3104,0,10
91.0,23,159,3104,0,11
92.0,37,183,3104,0,10
93.0,40,258,3104,0,10
94.0,50,333,3104,0,10
95.0,60,408,3104,0,10
96.0,73,414,3104,0,19
97.0,77,476,3104,0,14
98.0,95,548,3104,0,5
99.0,100,615,3104,0,10
100.0,116,679,3104,0,7
101.0,122,679,3104,0,10
102.0,128,738,3104,0,10
103.0,137,797,3104,0,8
104.0,145,854,3104,0,10
105.0,155,911,3104,0,10
106.0,156,922,3104,0,28
107.0,178,963,3104,0,15
108.0,185,1020,3104,0,10
109.0,195,1077,3104,0,10
110.0,205,1134,3104,0,10
111.0,212,1188,3104,0,13
112.0,218,1188,3104,0,15
113.0,228,1242,3104,0,10
114.0,238,1296,3104,0,10
115.0,248,1350,3104,0,10
116.0,258,1404,3104,0,10
117.0,258,1431,3104,0,26
118.0,268,1448,3104,0,20
119.0,288,1502,3104,0,10
120.0,307,1556,3104,0,1
121.0,307,1572,3104,0,19
122.0,308,1591,3104,0,20
123.0,328,1636,3104,0,10
124.0,338,1681,3104,0,10
125.0,348,1726,3104,0,10
126.0,358,1771,3104,0,10
127.0,358,1806,3104,0,20
128.0,378,1806,3104,0,10
129.0,388,1841,3104,0,10
130.0,398,1876,3104,0,10
131.0,408,1911,3104,0,10
132.0,418,1946,3104,0,10
133.0,418,1971,3104,0,20
134.0,438,1993,3104,0,13
135.0,455,1996,3104,0,3
136.0,458,2014,3104,0,10
137.0,468,2032,3104,0,10
138.0,478,2050,3104,0,10
139.0,488,2068,3104,0,10
140.0,498,2086,3104,0,10
141.0,508,2104,3104,0,10
142.0,524,2114,3104,0,20
143.0,526,2122,3104,0,12
144.0,546,2130,3104,0,2
145.0,550,2130,3104,0,8
146.0,550,2130,3104,0,8
147.0,566,2130,3104,0,0
148.0,566,2130,3104,0,0
149.0,566,2130,3104,0,0
