t,ok,r429,r5xx,other,in_flight
0.0,0,0,0,0,0
1.0,0,0,0,0,0
2.0,0,0,0,0,0
3.0,0,0,0,0,0
4.0,0,0,0,0,0
5.0,0,0,0,0,0
6.0,0,0,0,0,0
7.0,0,0,0,0,0
8.0,0,0,0,0,0
9.0,0,0,0,0,2
10.0,0,0,0,0,4
11.0,0,0,3,0,6
12.0,0,0,8,0,2
13.0,0,0,10,0,1
14.0,0,0,16,0,7
15.5,0,0,22,0,10
16.5,0,0,24,0,11
18.4,0,0,27,0,12
19.0,0,0,32,0,5
20.3,0,0,51,0,9
21.2,0,0,57,0,9
22.5,0,0,64,0,11
23.3,0,0,67,0,10
24.1,0,0,73,0,12
25.2,0,0,78,0,9
26.4,0,0,84,0,10
27.0,0,0,117,0,10
28.1,0,0,123,0,10
29.0,0,0,143,0,5
30.0,0,0,151,0,3
31.0,0,0,201,0,0
32.0,0,0,229,0,0
33.0,0,0,247,0,0
34.0,0,0,265,0,0
35.0,0,0,290,0,0
36.0,0,0,302,0,0
37.0,0,0,317,0,0
38.0,0,0,330,0,0
39.0,0,0,340,0,0
40.0,0,0,340,0,0
41.0,0,0,349,0,0
42.0,0,0,361,0,0
43.0,0,0,368,0,0
44.0,0,0,374,0,0
45.0,0,0,381,0,0
46.2,0,0,386,0,0
47.0,0,0,394,0,0
48.0,0,0,400,0,0
49.0,0,0,411,0,0
50.0,0,0,417,0,0
51.0,0,0,422,0,0
52.0,0,0,430,0,0
53.0,0,0,434,0,0
54.0,0,0,434,0,0
55.0,0,0,441,0,0
56.0,0,0,446,0,0
57.0,0,0,451,0,0
58.0,0,0,452,0,0
59.0,0,0,453,0,0
60.0,0,0,455,0,0
61.0,0,0,459,0,0
62.0,0,0,462,0,0
63.0,0,0,466,0,0
64.0,0,0,471,0,0
65.0,0,0,477,0,0
66.0,0,0,481,0,0
67.0,0,0,485,0,0
68.0,0,0,488,0,0
69.0,0,0,494,0,0
70.0,0,0,494,0,0
71.0,0,0,498,0,0
72.0,0,0,503,0,0
73.0,0,0,506,0,0
74.0,0,0,506,0,0
75.0,0,0,511,0,0
76.0,0,0,511,0,0
77.0,0,0,511,0,0
78.0,0,0,513,0,0
79.0,0,0,517,0,0
80.0,0,0,518,0,0
81.0,0,0,519,0,0
82.0,0,0,519,0,4
83.0,4,0,519,0,4
84.0,12,0,519,0,2
85.0,14,0,519,0,3
86.0,19,0,519,0,2
87.0,22,0,519,0,2
88.0,25,0,519,0,6
89.0,32,0,519,0,7
90.0,44,0,519,0,5
91.0,51,0,519,0,4
92.0,58,0,519,0,6
93.0,62,1,519,0,8
94.0,67,1,519,0,10
95.0,74,1,519,0,8
96.0,84,1,519,0,5
97.0,92,1,519,0,6
98.0,96,1,519,0,10
99.0,104,1,519,0,11
100.0,115,1,519,0,10
101.0,126,1,519,0,6
102.0,132,1,519,0,5
103.0,140,1,519,0,3
104.0,141,1,519,0,4
105.0,146,1,519,0,3
106.0,149,1,519,0,2
107.0,151,1,519,0,4
108.0,156,1,519,0,3
109.0,156,1,519,0,4
110.0,163,1,519,0,2
111.0,166,1,519,0,2
112.0,169,1,519,0,3
113.0,173,1,519,0,3
114.0,178,1,519,0,1
115.0,180,1,519,0,0
116.0,180,1,519,0,3
117.0,183,1,519,0,5
118.0,191,1,519,0,3
119.0,196,1,519,0,3
120.0,200,1,519,0,2
121.0,204,1,519,0,2
122.0,206,1,519,0,4
123.0,212,1,519,0,6
124.0,220,1,519,0,5
125.0,229,1,519,0,2
126.0,232,1,519,0,2
127.0,235,1,519,0,2
128.0,235,1,519,0,3
129.0,239,1,519,0,2
130.0,239,1,519,0,2
131.0,243,1,519,0,0
132.0,243,1,519,0,1
133.0,244,1,519,0,1
134.0,244,1,519,0,1
135.0,246,1,519,0,0
136.0,246,1,519,0,0
137.0,246,1,519,0,0
